Date,Open,High,Low,Close,Volume,Adj Close
2017-01-09,10.84,11.01,10.75,10.83,12758700,10.83
2017-01-06,11.00,11.01,10.75,10.87,14692100,10.87
2017-01-05,10.96,11.19,10.93,11.10,18246200,11.10
2017-01-04,10.87,10.89,10.65,10.80,13909200,10.80
2017-01-03,10.59,10.92,10.59,10.83,22742200,10.83
2016-12-30,10.34,10.39,10.05,10.11,12724100,10.11
2016-12-29,10.27,10.43,10.19,10.33,13073600,10.33
2016-12-28,10.15,10.39,10.13,10.33,14334800,10.33
2016-12-27,10.16,10.22,10.04,10.15,13155000,10.15
2016-12-23,10.02,10.20,9.94,10.11,16639000,10.11
2016-12-22,9.93,9.96,9.78,9.88,14120400,9.88
2016-12-21,10.05,10.07,9.81,9.93,19425700,9.93
2016-12-20,10.00,10.07,9.78,9.91,17267500,9.91
2016-12-19,10.19,10.21,9.85,9.88,21975400,9.88
2016-12-16,10.29,10.40,10.16,10.21,21747100,10.21
2016-12-15,10.19,10.40,10.11,10.26,33867200,10.26
2016-12-14,10.81,10.94,10.34,10.40,28695300,10.40
2016-12-13,11.06,11.15,10.80,10.94,18619700,10.94
2016-12-12,11.03,11.21,10.92,10.93,26024200,10.93
2016-12-09,10.93,11.04,10.75,10.84,21648800,10.84
2016-12-08,10.80,10.94,10.58,10.87,28182100,10.87
2016-12-07,10.85,10.95,10.71,10.81,27796400,10.81
2016-12-06,10.44,10.97,10.38,10.77,39405200,10.77
2016-12-05,10.76,10.89,10.43,10.45,33293900,10.45
2016-12-02,10.49,10.77,10.42,10.68,30797700,10.68
2016-12-01,10.88,11.05,10.41,10.53,46005100,10.53
2016-11-30,10.57,10.98,10.53,10.87,42364300,10.87
2016-11-29,9.97,10.02,9.72,9.85,22288200,9.85
2016-11-28,10.36,10.50,10.22,10.25,18565200,10.25
2016-11-25,10.26,10.33,10.08,10.20,11309900,10.20
2016-11-23,10.25,10.54,10.24,10.46,22145000,10.46
2016-11-22,10.40,10.53,10.16,10.48,28193700,10.48
2016-11-21,10.10,10.29,10.04,10.27,23348800,10.27
2016-11-18,9.70,9.86,9.56,9.65,13907600,9.65
2016-11-17,10.00,10.09,9.56,9.60,19860200,9.60
2016-11-16,9.90,10.04,9.70,9.83,25676600,9.83
2016-11-15,10.08,10.23,9.94,9.99,33758000,9.99
2016-11-14,9.43,9.59,9.14,9.57,48176700,9.57
2016-11-11,9.95,10.10,9.45,9.73,44588200,9.73
2016-11-10,10.75,11.06,10.12,10.34,42375400,10.34
2016-11-09,10.90,11.43,10.90,11.32,33800200,11.32
2016-11-08,11.15,11.62,11.12,11.43,25052500,11.43
2016-11-07,11.11,11.43,11.11,11.40,25367700,11.40
2016-11-04,10.62,10.78,10.41,10.63,25873700,10.63
2016-11-03,10.99,11.05,10.54,10.61,19513500,10.61
2016-11-02,10.89,11.01,10.52,10.73,25296500,10.73
2016-11-01,11.61,11.71,10.85,11.09,32681900,11.09
